id,label
7541,1
6484,1
898,1
5823,1
140,1
2258,1
3298,1
8070,1
6950,1
156,1
7971,1
7862,1
7235,1
496,1
2630,1
361,1
5465,1
7456,1
5092,1
7419,1
3217,1
5050,1
2455,1
6323,1
2112,1
767,1
7933,1
7752,1
4904,1
3204,1
222,1
7402,1
8635,1
6969,1
4807,1
3227,1
7539,1
52,1
6475,1
935,1
1677,1
160,1
6147,1
6978,1
6102,1
7612,1
4144,1
1549,1
3145,1
2401,1
3459,1
3067,1
1070,1
1863,1
8356,1
3778,1
557,1
3176,1
6407,1
5602,1
385,1
7756,1
3205,1
1267,1
648,1
5816,1
3841,1
5403,1
8177,1
2345,1
6521,1
510,1
7855,1
8403,1
605,1
4684,1
2653,1
4744,1
1247,1
6022,1
7680,1
3852,1
7700,1
1174,1
8671,1
4065,1
4531,1
3275,1
2805,1
4693,1
4683,1
5535,1
7537,1
3335,1
6548,1
2961,1
3444,1
7347,1
5914,1
2777,1
922,1
3737,1
7647,1
4516,1
4441,1
7038,1
5147,1
2154,1
7210,1
3497,1
950,1
5990,1
498,1
6121,1
8832,1
8448,1
2731,1
3617,1
4016,1
5166,1
2931,1
3037,1
5583,1
7162,1
2127,1
2402,1
3210,1
1279,1
1503,1
4614,1
3256,1
1387,1
2546,1
2428,1
3847,1
7109,1
7955,1
5834,1
6914,1
3544,1
725,1
5861,1
228,1
4527,1
763,1
2922,1
1948,1
4883,1
6362,1
8800,1
3316,1
5421,1
3587,1
2606,1
8339,1
3131,1
7264,1
8061,1
930,1
2022,1
6553,1
4035,1
2469,1
6084,1
7567,1
502,1
2933,1
6178,1
5782,1
536,1
513,1
8366,1
3310,1
4602,1
6304,1
5314,1
744,1
1826,1
4674,1
2659,1
486,1
6910,1
6149,1
4892,1
5848,1
2532,1
4478,1
4160,1
8294,1
6215,1
6061,1
1744,1
4731,1
2031,1
3164,1
7693,1
3674,1
7311,1
6770,1
5186,1
4001,1
2034,1
7004,1
4358,1
3613,1
2928,1
713,1
7477,1
584,1
8491,1
169,1
1473,1
1960,1
4256,1
6260,1
1022,1
2051,1
6489,1
4824,1
3094,1
4869,1
3091,1
5801,1
8289,1
879,1
5228,1
3992,1
2314,1
6870,1
4429,1
7672,1
2088,1
8077,1
6357,1
2935,1
7385,1
2846,1
7531,1
247,1
2916,1
1529,1
5372,1
1954,1
4746,1
8768,1
7062,1
6955,1
1275,1
4211,1
1613,1
4292,1
1692,1
5175,1
7712,1
3311,1
1421,1
715,1
7557,1
2109,1
7326,1
4976,1
2962,1
3533,1
2906,1
1552,1
2329,1
1650,1
7866,1
3249,1
1840,1
1304,1
6269,1
597,1
5019,1
3291,1
6338,1
1679,1
1037,1
3771,1
1000,1
159,1
6959,1
6788,1
8113,1
8469,1
2013,1
3038,1
3161,1
6532,1
6925,1
4822,1
4003,1
3969,1
1216,1
6162,1
2129,1
122,1
202,1
8258,1
2943,1
7292,1
6077,1
1751,1
3591,1
2148,1
290,1
2792,1
7727,1
214,1
6433,1
8346,1
3782,1
4925,1
4514,1
2269,1
3928,1
7439,1
7509,1
7599,1
3465,1
3874,1
1348,1
8021,1
8164,1
1525,1
6650,1
3192,1
6318,1
5018,1
6201,1
6819,1
1342,1
3747,1
1937,1
7040,1
1926,1
5179,1
8405,1
1255,1
6730,1
393,1
5999,1
2247,1
2309,1
927,1
3543,1
4200,1
1992,1
583,1
1624,1
5059,1
2358,1
3267,1
7555,1
147,1
6846,1
4317,1
560,1
5538,1
1467,1
4364,0
8396,0
2652,0
8409,0
4871,0
3272,0
2198,0
3523,0
8548,0
284,0
4827,0
3559,0
5784,0
2719,0
7525,0
3610,0
7064,0
4787,0
5962,0
2394,0
8530,0
2875,0
5152,0
1799,0
6471,0
4741,0
6706,0
5769,0
4324,0
3829,0
2521,0
5020,0
3354,0
3968,0
7895,0
277,0
2955,0
3501,0
6130,0
8662,0
5857,0
3780,0
1558,0
8746,0
6664,0
7364,0
8472,0
3785,0
8522,0
2662,0
2687,0
2240,0
6662,0
3889,0
2068,0
2789,0
5518,0
1803,0
8454,0
22,0
5878,0
5562,0
4528,0
2870,0
4512,0
5724,0
4889,0
7542,0
4055,0
4264,0
3419,0
2978,0
8444,0
8732,0
6670,0
8898,0
3960,0
1939,0
4346,0
355,0
6055,0
6665,0
7916,0
6110,0
3492,0
684,0
4511,0
775,0
8914,0
6134,0
6779,0
8223,0
1953,0
943,0
2021,0
7731,0
534,0
2969,0
8434,0
8533,0
6437,0
8845,0
7527,0
7699,0
8054,0
8882,0
1538,0
6743,0
4896,0
7448,0
5055,0
4705,0
5435,0
6890,0
4049,0
2901,0
2386,0
5734,0
4373,0
887,0
8506,0
6898,0
7318,0
458,0
4677,0
8192,0
6862,0
2802,0
7101,0
5608,0
2145,0
2012,0
1430,0
363,0
6087,0
6395,0
4353,0
490,0
8790,0
1591,0
85,0
8644,0
7110,0
142,0
8181,0
4012,0
8562,0
4795,0
4030,0
1442,0
4343,0
6767,0
2367,0
1254,0
8121,0
3576,0
6073,0
2404,0
8913,0
5046,0
6367,0
4525,0
4812,0
6618,0
7676,0
6873,0
41,0
4810,0
4784,0
1611,0
503,0
6411,0
8084,0
4847,0
100,0
2387,0
4042,0
7511,0
1481,0
5386,0
3827,0
6996,0
6697,0
3237,0
4724,0
5163,0
8498,0
164,0
2213,0
391,0
5980,0
4252,0
5215,0
4875,0
45,0
964,0
3954,0
42,0
8525,0
5830,0
465,0
2769,0
3769,0
4089,0
6377,0
8760,0
4610,0
4431,0
350,0
5065,0
7489,0
5168,0
2567,0
1203,0
6926,0
2847,0
2155,0
906,0
5151,0
3705,0
4987,0
8317,0
4017,0
3166,0
5516,0
366,0
3945,0
4474,0
6845,0
4181,0
2350,0
3324,0
2832,0
1479,0
4739,0
8074,0
7914,0
2117,0
2072,0
7868,0
3909,0
4790,0
471,0
5863,0
4842,0
6725,0
1901,0
7197,0
8645,0
4482,0
1119,0
4769,0
5008,0
7432,0
4624,0
8406,0
5153,0
8129,0
4458,0
697,0
2343,0
8272,0
8799,0
4668,0
1986,0
4262,0
6970,0
7417,0
5053,0
7499,0
1993,0
3901,0
3826,0
24,0
1219,0
4162,0
2924,0
2349,0
3953,0
4613,0
6081,0
1780,0
4322,0
1237,0
2670,0
4796,0
5263,0
8003,0
1005,0
2699,0
2891,0
6464,0
2666,0
8217,0
3566,0
5045,0
8075,0
422,0
7193,0
6345,0
5578,0
1024,0
4703,0
6330,0
660,0
8120,0
2035,0
5047,0
6369,0
3535,0
7570,0
3372,0
4103,0
926,0
1331,0
7992,0
2926,0
3651,0
1293,0
3139,0
4803,0
7553,0
7390,0
1160,0
1814,0
3646,0
569,0
4410,0
5362,0
4778,0
1828,0
5237,0
1955,0
7279,0
3223,0
97,0
7407,0
2429,0
5991,0
1956,0
1068,0
1114,0
3407,0
8689,0
3974,0
5238,0
723,0
1410,0
1166,0
7828,0
4249,0
8516,0
2788,0
6843,0
7534,0
3341,0
7023,0
5569,0
394,0
6826,0
6506,0
1236,0
6571,0
5699,0
3760,0
838,0
2730,0
1792,0
2724,0
2639,0
924,0
7242,0
4470,0
1159,0
7595,0
5264,0
7071,0
7944,0
388,0
2696,0
3288,0
4336,0
6053,0
5643,0
3104,0
639,0
4123,0
1501,0
1907,0
1801,0
8514,0
5138,0
6136,0
4532,0
7387,0
6010,0
3464,0
1972,0
5955,0
544,0
2052,0
6253,0
8131,0
4939,0
6623,0
5441,0
7661,0
6379,0
7374,0
1782,0
8903,0
8602,0
5770,0
2824,0
6817,0
8371,0
